Group,Element,Private Creator,VR,VM,Meaning,Rtn. Safe Priv. Opt.,IsInDICOMRetainSafePrivateTags,TCIA element_sig_pattern
2001,xxc1,Philips Imaging DD 001,LO,1,Nested Object Type Name,keep,True,"(0008,1110)[<0>](2001,xxc1)"
2005,xx06,Philips MR Imaging DD 005,OB,,Referenced Performed Procedure Step Sequence:Number of PS Specific Character Sets,keep,False,"(0008,1111)[<0>](2005,xx06)"
0009,xx01,GEIIS_RA1000,CS,,Referenced Series Sequence:Referenced Image Sequence:Unknown,keep,False,"(0008,1115)[<0>](0008,1140)[<1>](0009,xx01)"
0009,xx01,GEMS_IDEN_01,LO,,Full Fidelity,keep,False,"(0009,xx01)"
0009,xx01,GEMS_PETD_01,LO,,Implementation Version Name,keep,False,"(0009,xx01)"
0009,xx02,SECTRA_Ident_01,LO,,Examination number,keep,False,"(0009,xx02)"
0009,xx03,GEMS_PETD_01,SH,,Patient Compatible Version,keep,False,"(0009,xx03)"
0009,xx04,GEMS_IDEN_01,LO,,Product Id,keep,False,"(0009,xx04)"
0009,xx04,SPI-P Release 1,LO,,Image Data Consistence,keep,False,"(0009,xx04)"
0009,xx04,GEMS_PETD_01,SH,,Patient Software Version,keep,False,"(0009,xx04)"
0009,xx05,GEMS_PETD_01,DT,,Patient DateTime,func:hash_increment_date,False,"(0009,xx05)"
0009,xx05,FDMS 1.0,OB,,Image UID,func:generate_hashuid,False,"(0009,xx05)"
0009,xx06,FDMS 1.0,OB,,Route Image UID,func:generate_hashuid,False,"(0009,xx06)"
0009,xx07,GEMS_PETD_01,LO,,Exam ID,func:generate_hashuid,False,"(0009,xx07)"
0009,xx08,FDMS 1.0,OB,,Image Display Information Version Number,keep,False,"(0009,xx08)"
0009,xx08,GEMS_PETD_01,SH,,Exam Compatible Version,keep,False,"(0009,xx08)"
0009,xx09,FDMS 1.0,OB,,Patient Information Version Number,keep,False,"(0009,xx09)"
0009,xx09,GEMS_PETD_01,SH,,Exam Software Version,keep,False,"(0009,xx09)"
0009,xx0a,GEMS_PETD_01,LO,,Scan ID,func:generate_hashuid,False,"(0009,xx0a)"
0009,xx0b,GEMS_PETD_01,SH,,Scan Compatible Version,keep,False,"(0009,xx0b)"
0009,xx0c,FDMS 1.0,OB,,Film UID,func:generate_hashuid,False,"(0009,xx0c)"
0009,xx0c,GEMS_PETD_01,SH,,Scan Software Version,keep,False,"(0009,xx0c)"
0009,xx0d,GEMS_PETD_01,DT,,Scan Date Time,func:hash_increment_date,False,"(0009,xx0d)"
0009,xx0e,GEMS_PETD_01,DT,,Scan Ready,func:hash_increment_date,False,"(0009,xx0e)"
0009,xx10,FDMS 1.0,CS,,Exposure Unit Type Code,keep,False,"(0009,xx10)"
0009,xx10,SIEMENS CM VA0  CMS,CS,,Storage Mode,keep,False,"(0009,xx10)"
0009,xx10,SIEMENS CM VA0  LAB,LO,,Generator Identification Label,keep,False,"(0009,xx10)"
0029,xx31,SIEMENS MEDCOM HEADER,LO,,GE Private Image Thumbnail Sequence:PMTF Information 1,keep,False,"(0009,xx10)[<0>](0029,xx31)"
0009,xx11,GEMS_PETD_01,LO,,Scanner Description,keep,False,"(0009,xx11)"
0009,xx11,SIEMENS CM VA0  LAB,LO,,Gantry Identification Label,keep,False,"(0009,xx11)"
0009,xx12,GEMS_PETD_01,LO,,Manufacturer,keep,False,"(0009,xx12)"
0009,xx13,GEMS_PETD_01,LO,,FOR Identifier,func:generate_hashuid,False,"(0009,xx13)"
0009,xx13,SIEMENS CM VA0  LAB,LO,,Detector Identification Label,keep,False,"(0009,xx13)"
0009,xx14,GEMS_PETD_01,LO,,Landmark Name,keep,False,"(0009,xx14)"
0009,xx15,SIEMENS CM VA0  LAB,LO,,SMI Identification Label,keep,False,"(0009,xx15)"
0009,xx15,GEMS_PETD_01,SH,,Landmark Abbrev,keep,False,"(0009,xx15)"
0009,xx16,GEMS_PETD_01,SL,,Patient Position,keep,False,"(0009,xx16)"
0009,xx17,GEMS_PETD_01,SL,,Scan Perspective,keep,False,"(0009,xx17)"
0009,xx18,GEMS_PETD_01,SL,,Scan Type,keep,False,"(0009,xx18)"
0009,xx19,GEMS_PETD_01,SL,,Scan Mode,keep,False,"(0009,xx19)"
0009,xx1a,GEMS_PETD_01,SL,,Start Condition,keep,False,"(0009,xx1a)"
0009,xx1b,GEMS_PETD_01,SL,,Start Condition Data,keep,False,"(0009,xx1b)"
0009,xx1c,GEMS_PETD_01,SL,,Sel Stop Condition,keep,False,"(0009,xx1c)"
0009,xx1d,GEMS_PETD_01,SL,,Sel Stop Condition Data,keep,False,"(0009,xx1d)"
0009,xx1e,GEMS_PETD_01,SL,,Collect Deadtime,keep,False,"(0009,xx1e)"
0009,xx1f,GEMS_PETD_01,SL,,Collect Singles,keep,False,"(0009,xx1f)"
0009,xx20,SIEMENS CM VA0  LAB,LT,,Header Version,keep,False,"(0009,xx20)"
0009,xx20,GEMS_PETD_01,SL,,Collect Count Rate,keep,False,"(0009,xx20)"
0009,xx21,GEMS_PETD_01,SL,,Count Rate Period,keep,False,"(0009,xx21)"
0009,xx22,GEMS_GENIE_1,SH,,User Orientation,keep,False,"(0009,xx22)"
0009,xx22,GEMS_PETD_01,SL,,Delayed Events,keep,False,"(0009,xx22)"
0009,xx23,GEMS_GENIE_1,SL,,Initiation Type,keep,False,"(0009,xx23)"
0009,xx23,GEMS_PETD_01,SL,,Delayed Bias,keep,False,"(0009,xx23)"
0009,xx24,GEMS_GENIE_1,SL,,Initiation Delay,keep,False,"(0009,xx24)"
0009,xx24,GEMS_PETD_01,SL,,Word Size,keep,False,"(0009,xx24)"
0009,xx25,GEMS_GENIE_1,SL,,Initiation Count Rate,keep,False,"(0009,xx25)"
0009,xx25,GEMS_PETD_01,SL,,Axial Acceptance,keep,False,"(0009,xx25)"
0009,xx26,GEMS_GENIE_1,SL,,Number Energy Sets,keep,False,"(0009,xx26)"
0009,xx26,GEMS_PETD_01,SL,,Axial Angle 3D,keep,False,"(0009,xx26)"
0009,xx27,GEMS_GENIE_1,SL,,Number Detectors,keep,False,"(0009,xx27)"
0009,xx27,GEMS_PETD_01,SL,,Theta Compression,keep,False,"(0009,xx27)"
0009,xx27,SIEMENS CM VA0  CMS,TM,,Last Move Time,keep,False,"(0009,xx27)"
0009,xx28,GEMS_GENIE_1,SL,,Number RR Windows,keep,False,"(0009,xx28)"
0009,xx28,GEMS_PETD_01,SL,,Axial Compression,keep,False,"(0009,xx28)"
0009,xx29,GEMS_PETD_01,FL,,Gantry Tilt Angle,keep,False,"(0009,xx29)"
0009,xx2a,GEMS_PETD_01,SL,,Collimation,keep,False,"(0009,xx2a)"
0009,xx2b,GEMS_GENIE_1,LO,,Trigger History UID,func:generate_hashuid,False,"(0009,xx2b)"
0009,xx2b,GEMS_PETD_01,SL,,Scan FOV,keep,False,"(0009,xx2b)"
0009,xx2c,GEMS_PETD_01,FD,,Axial FOV,keep,False,"(0009,xx2c)"
0009,xx2d,GEMS_GENIE_1,SL,,Track Beat Average,keep,False,"(0009,xx2d)"
0009,xx2d,GEMS_PETD_01,SL,,Event Separation,keep,False,"(0009,xx2d)"
0009,xx2e,GEMS_GENIE_1,FD,,Distance Prescribed,keep,False,"(0009,xx2e)"
0009,xx2e,GEMS_PETD_01,SL,,Mask Width,keep,False,"(0009,xx2e)"
0009,xx2f,GEMS_GENIE_1,SL,,Table Direction,keep,False,"(0009,xx2f)"
0009,xx33,GEMS_GENIE_1,FD,,Rotational Continuous Speed,keep,False,"(0009,xx33)"
0009,xx34,GEMS_PETD_01,SL,,Triggers Acquired,keep,False,"(0009,xx34)"
0009,xx35,GEMS_GENIE_1,SL,,Gantry Locus Type,keep,False,"(0009,xx35)"
0009,xx35,GEMS_PETD_01,SL,,Triggers Rejected,keep,False,"(0009,xx35)"
0009,xx36,GEMS_PETD_01,LO,,Tracer Name,keep,False,"(0009,xx36)"
0009,xx37,GEMS_PETD_01,LO,,Batch Description,keep,False,"(0009,xx37)"
0009,xx37,GEMS_GENIE_1,SL,,Starting Heart Rate,keep,False,"(0009,xx37)"
0009,xx38,GEMS_PETD_01,FL,,Tracer Activity,keep,False,"(0009,xx38)"
0009,xx39,GEMS_PETD_01,DT,,Measured Date Time,func:hash_increment_date,False,"(0009,xx39)"
0009,xx3a,GEMS_PETD_01,FL,,Pre Inj Volume,keep,False,"(0009,xx3a)"
0009,xx3a,GEMS_GENIE_1,SL,,Percent Cycle Imaged,keep,False,"(0009,xx3a)"
0009,xx3b,GEMS_PETD_01,DT,,Administered Date Time,func:hash_increment_date,False,"(0009,xx3b)"
0009,xx3c,GEMS_PETD_01,FL,,Post Injected Activity,keep,False,"(0009,xx3c)"
0009,xx3d,GEMS_PETD_01,DT,,Post Injected Date Time,func:hash_increment_date,False,"(0009,xx3d)"
0009,xx3e,GEMS_PETD_01,SH,,Radio Nuclide Name,keep,False,"(0009,xx3e)"
0009,xx3f,GEMS_PETD_01,FL,,Half Life,keep,False,"(0009,xx3f)"
0009,xx40,GEMS_PETD_01,FL,,Positron Fraction,keep,False,"(0009,xx40)"
0009,xx41,SPI RELEASE 1,LO,,Data Object Subtype,keep,False,"(0009,xx41)"
0009,xx41,GEMS_PETD_01,SL,,Source 1 Holder,keep,False,"(0009,xx41)"
0009,xx42,GEMS_PETD_01,FL,,Source 1 Activity,keep,False,"(0009,xx42)"
0009,xx44,GEMS_PETD_01,SH,,Source 1 Radio Nuclide,keep,False,"(0009,xx44)"
0009,xx45,GEMS_PETD_01,FL,,Source 1 Half Life,keep,False,"(0009,xx45)"
0009,xx46,GEMS_PETD_01,SL,,Source 2 Holder,keep,False,"(0009,xx46)"
0009,xx47,GEMS_PETD_01,FL,,Source 2 Activity,keep,False,"(0009,xx47)"
0009,xx48,MMCPrivate,LO,,Protocol Name,keep,False,"(0009,xx48)"
0009,xx49,GEMS_PETD_01,SH,,Source 2 Radio Nuclide,keep,False,"(0009,xx49)"
0009,xx4a,GEMS_PETD_01,FL,,Source 2 Half Life,keep,False,"(0009,xx4a)"
0009,xx4b,GEMS_PETD_01,SL,,Source Speed,keep,False,"(0009,xx4b)"
0009,xx4c,GEMS_PETD_01,FL,,Source Location,keep,False,"(0009,xx4c)"
0009,xx4d,GEMS_PETD_01,SL,,Emission Present,keep,False,"(0009,xx4d)"
0009,xx4e,MMCPrivate,LO,,CMS Body Part Examined,keep,False,"(0009,xx4e)"
0009,xx4e,GEMS_PETD_01,SL,,Lower Axial Acc,keep,False,"(0009,xx4e)"
0009,xx4f,MMCPrivate,LO,,Is Protected,keep,False,"(0009,xx4f)"
0009,xx4f,GEMS_PETD_01,SL,,Upper Axial Acc,keep,False,"(0009,xx4f)"
0009,xx50,GEMS_PETD_01,SL,,Lower Coinc Limit,keep,False,"(0009,xx50)"
0009,xx51,GEMS_PETD_01,SL,,Upper Coinc Limit,keep,False,"(0009,xx51)"
0009,xx52,GEMS_PETD_01,SL,,Coinc Delay Offset,keep,False,"(0009,xx52)"
0009,xx53,GEMS_PETD_01,SL,,Coinc Output Mode,keep,False,"(0009,xx53)"
0009,xx54,GEMS_PETD_01,SL,,Upper Energy Limit,keep,False,"(0009,xx54)"
0009,xx55,GEMS_PETD_01,SL,,Lower Energy Limit,keep,False,"(0009,xx55)"
0009,xx56,GEMS_PETD_01,LO,,Normal Cal ID,func:generate_hashuid,False,"(0009,xx56)"
0009,xx57,GEMS_PETD_01,LO,,Normal 2D Cal ID,func:generate_hashuid,False,"(0009,xx57)"
0009,xx59,GEMS_PETD_01,LO,,WC Cal ID,func:generate_hashuid,False,"(0009,xx59)"
0009,xx5a,GEMS_PETD_01,SL,,Derived,keep,False,"(0009,xx5a)"
0009,xx5c,GEMS_PETD_01,LO,,frame_id,func:generate_hashuid,False,"(0009,xx5c)"
0009,xx5d,GEMS_PETD_01,LO,,scan_id,func:generate_hashuid,False,"(0009,xx5d)"
0009,xx5e,GEMS_PETD_01,LO,,exam_id,func:generate_hashuid,False,"(0009,xx5e)"
0009,xx60,GEMS_PETD_01,SH,,compatible_version,keep,False,"(0009,xx60)"
0009,xx61,GEMS_PETD_01,SH,,software_version,keep,False,"(0009,xx61)"
0009,xx66,GEMS_PETD_01,FL,,table_height,keep,False,"(0009,xx66)"
0009,xx67,GEMS_PETD_01,FL,,table_z_position,keep,False,"(0009,xx67)"
0009,xx68,GEMS_PETD_01,DT,,landmark_datetime,func:hash_increment_date,False,"(0009,xx68)"
0009,xx69,GEMS_PETD_01,SL,,slice_count,keep,False,"(0009,xx69)"
0009,xx6a,GEMS_PETD_01,FL,,start_location,keep,False,"(0009,xx6a)"
0009,xx6b,GEMS_PETD_01,SL,,acq_delay,keep,False,"(0009,xx6b)"
0009,xx6c,GEMS_PETD_01,DT,,acq_start,func:hash_increment_date,False,"(0009,xx6c)"
0009,xx6d,GEMS_PETD_01,SL,,acq_duration,keep,False,"(0009,xx6d)"
0009,xx70,GEMS_PETD_01,SL,,actual_stop_cond,keep,False,"(0009,xx70)"
0009,xx73,GEMS_PETD_01,SL,,frame_valid,keep,False,"(0009,xx73)"
0009,xx74,GEMS_PETD_01,SL,,validity_info,keep,False,"(0009,xx74)"
0009,xx75,GEMS_PETD_01,SL,,archived,keep,False,"(0009,xx75)"
0009,xx76,GEMS_PETD_01,SL,,compression,keep,False,"(0009,xx76)"
0009,xx77,GEMS_PETD_01,SL,,uncompressed_size,keep,False,"(0009,xx77)"
0009,xx79,GEMS_PETD_01,SH,,Image Set Compatible Version,keep,False,"(0009,xx79)"
0009,xx7a,GEMS_PETD_01,SH,,Image Set Software Version,keep,False,"(0009,xx7a)"
0009,xx7b,GEMS_PETD_01,DT,,Image Set Date Time,func:hash_increment_date,False,"(0009,xx7b)"
0009,xx7c,GEMS_PETD_01,SL,,Image Set Source,keep,False,"(0009,xx7c)"
0009,xx7d,GEMS_PETD_01,SL,,Image Set Contents,keep,False,"(0009,xx7d)"
0009,xx7e,GEMS_PETD_01,SL,,Image Set Type,keep,False,"(0009,xx7e)"
