Group,Element,Name,VR,VM,Basic Prof.,Rtn. UIDs Opt.,Rtn. Dev. Id. Opt.,Rtn. Inst. Id. Opt.,Rtn. Pat. Chars. Opt.,Rtn. Long. Full Dates Opt.,Rtn. Long. Modif. Dates Opt.,Clean Desc. Opt.,Clean Struct. Cont. Opt.,Clean Graph. Opt.,TCIA element_sig_pattern,Final CTP Script
0010,0020,Patient ID,LO,,func:generate_patient_id,,,,,,,,,,"(0010,0020)","LOOKUP(this,ptid)"
0000,1000,Affected SOP Instance UID,UI,,remove,keep,,,,,,,,,"(0000,1000)",@remove()
0000,1001,Requested SOP Instance UID,UI,,func:generate_hashuid,keep,,,,,,,,,"(0000,1001)","@hashuid(@UIDROOT,this)"
0002,0003,Media Storage SOP Instance UID,UI,,func:generate_hashuid,keep,,,,,,,,,"(0002,0003)","@hashuid(@UIDROOT,this)"
0004,1511,Referenced SOP Instance UID in File,UI,,func:generate_hashuid,keep,,,,,,,,,"(0004,1511)","@hashuid(@UIDROOT,this)"
0008,0012,Instance Creation Date,DA,,func:set_fixed_datetime,,,,,keep,func:hash_increment_date,,,,"(0008,0012)","@incrementdate(this,@DATEINC)"
0008,0013,Instance Creation Time,TM,,func:set_fixed_datetime,,,,,keep,keep,,,,"(0008,0013)",@keep()
0008,0014,Instance Creator UID,UI,,func:generate_hashuid,keep,,,,,,,,,"(0008,0014)","@hashuid(@UIDROOT,this)"
0008,0015,Instance Coercion DateTime,DT,,remove,,,,,keep,func:hash_increment_date,,,,"(0008,0015)","@incrementdate(this,@DATEINC)"
0008,0017,Acquisition UID,UI,,func:generate_hashuid,keep,,,,,,,,,"(0008,0017)","@hashuid(@UIDROOT,this)"
0008,0018,SOP Instance UID,UI,,func:generate_hashuid,keep,,,,,,,,,"(0008,0018)","@hashuid(@UIDROOT,this)"
0008,0019,Pyramid UID,UI,,func:generate_hashuid,keep,,,,,,,,,"(0008,0019)","@hashuid(@UIDROOT,this)"
0008,0020,Study Date,DA,,func:set_fixed_datetime,,,,,keep,func:hash_increment_date,,,,"(0008,0020)","@incrementdate(this,@DATEINC)"
0008,0021,Series Date,DA,,func:set_fixed_datetime,,,,,keep,func:hash_increment_date,,,,"(0008,0021)","@incrementdate(this,@DATEINC)"
0008,0022,Acquisition Date,DA,,func:set_fixed_datetime,,,,,keep,func:hash_increment_date,,,,"(0008,0022)","@incrementdate(this,@DATEINC)"
0008,0023,Content Date,DA,,func:set_fixed_datetime,,,,,keep,func:hash_increment_date,,,,"(0008,0023)","@incrementdate(this,@DATEINC)"
